report_date,contract_code,noncomm_long,noncomm_short,comm_long,comm_short,open_interest,net_noncomm,fetched_at
2022-08-30,097741,54513,96044,163991,102704,247030,-41531,2026-07-04T22:16:38.729808+00:00
2022-09-06,097741,56002,114191,191138,113469,281266,-58189,2026-07-04T22:16:38.729808+00:00
2022-09-13,097741,39323,120015,212375,114076,281716,-80692,2026-07-04T22:16:38.729808+00:00
2022-09-20,097741,34767,116047,190267,92754,250892,-81280,2026-07-04T22:16:38.729808+00:00
2022-09-27,097741,22706,105262,195930,95297,244655,-82556,2026-07-04T22:16:38.729808+00:00
2022-10-04,097741,26962,108585,185691,92367,243289,-81623,2026-07-04T22:16:38.729808+00:00
2022-10-11,097741,30149,107542,187119,92670,245007,-77393,2026-07-04T22:16:38.729808+00:00
2022-10-18,097741,30583,124919,203508,92667,264265,-94336,2026-07-04T22:16:38.729808+00:00
2022-10-25,097741,37579,140197,205120,87038,272597,-102618,2026-07-04T22:16:38.729808+00:00
2022-11-01,097741,40460,118080,191221,95447,258906,-77620,2026-07-04T22:16:38.729808+00:00
2022-11-08,097741,37201,112459,183539,94559,251378,-75258,2026-07-04T22:16:38.729808+00:00
2022-11-15,097741,33797,99639,172905,95692,233346,-65842,2026-07-04T22:16:38.729808+00:00
2022-11-22,097741,30800,95650,170350,92244,227435,-64850,2026-07-04T22:16:38.729808+00:00
2022-11-29,097741,28125,95519,173959,91290,228328,-67394,2026-07-04T22:16:38.729808+00:00
2022-12-06,097741,23589,89585,169918,94716,223424,-65996,2026-07-04T22:16:38.729808+00:00
2022-12-13,097741,22290,75478,157021,97992,226964,-53188,2026-07-04T22:16:38.729808+00:00
2022-12-20,097741,33686,74567,121482,75759,182034,-40881,2026-07-04T22:16:38.729808+00:00
2022-12-27,097741,29685,67415,118599,72598,173136,-37730,2026-07-04T22:16:38.729808+00:00
2023-01-03,097741,25377,72241,117959,71186,172590,-46864,2026-07-04T22:16:38.729808+00:00
2023-01-10,097741,26395,61772,119166,84678,175745,-35377,2026-07-04T22:16:38.729808+00:00
2023-01-17,097741,29458,52419,114907,96823,176862,-22961,2026-07-04T22:16:38.729808+00:00
2023-01-24,097741,27620,49255,113437,96292,173321,-21635,2026-07-04T22:16:38.729808+00:00
2023-01-31,097741,22550,42610,114423,96244,168540,-20060,2026-07-04T22:16:38.729808+00:00
2023-02-07,097741,16556,45645,118080,84734,164069,-29089,2026-07-04T22:16:38.729808+00:00
2023-02-14,097741,23079,50922,124522,88753,174955,-27843,2026-07-04T22:16:38.729808+00:00
2023-02-21,097741,32486,66515,126777,79888,186100,-34029,2026-07-04T22:16:38.729808+00:00
2023-02-28,097741,27703,86381,142893,72372,200047,-58678,2026-07-04T22:16:38.729808+00:00
2023-03-07,097741,17141,92444,163246,73643,211297,-75303,2026-07-04T22:16:38.729808+00:00
2023-03-14,097741,11048,85842,142857,56863,179782,-74794,2026-07-04T22:16:38.729808+00:00
2023-03-21,097741,7255,73600,134389,61905,169188,-66345,2026-07-04T22:16:38.729808+00:00
2023-03-28,097741,9717,63692,132070,74508,169473,-53975,2026-07-04T22:16:38.729808+00:00
2023-04-04,097741,11523,68559,133327,81061,178828,-57036,2026-07-04T22:16:38.729808+00:00
2023-04-11,097741,11933,69140,132604,76255,176822,-57207,2026-07-04T22:16:38.729808+00:00
2023-04-18,097741,15661,72530,132747,71102,177507,-56869,2026-07-04T22:16:38.729808+00:00
2023-04-25,097741,13680,82424,135330,62705,184041,-68744,2026-07-04T22:16:38.729808+00:00
2023-05-02,097741,28088,96412,141332,63811,202996,-68324,2026-07-04T22:16:38.729808+00:00
2023-05-09,097741,22229,83244,137992,68830,192574,-61015,2026-07-04T22:16:38.729808+00:00
2023-05-16,097741,29494,94285,142392,66255,200515,-64791,2026-07-04T22:16:38.729808+00:00
2023-05-23,097741,36760,117420,157498,65120,226400,-80660,2026-07-04T22:16:38.729808+00:00
2023-05-30,097741,40736,136929,166931,60419,243237,-96193,2026-07-04T22:16:38.729808+00:00
2023-06-06,097741,34151,138968,174461,60725,245332,-104817,2026-07-04T22:16:38.729808+00:00
2023-06-13,097741,37088,141064,175067,56886,252566,-103976,2026-07-04T22:16:38.729808+00:00
2023-06-20,097741,32244,139900,175201,56929,238556,-107656,2026-07-04T22:16:38.729808+00:00
2023-06-27,097741,38018,150888,181511,59145,251524,-112870,2026-07-04T22:16:38.729808+00:00
2023-07-03,097741,41713,159633,190157,64147,265066,-117920,2026-07-04T22:16:38.729808+00:00
2023-07-11,097741,29838,147020,190189,61112,252349,-117182,2026-07-04T22:16:38.729808+00:00
2023-07-18,097741,29776,120015,170491,72296,230932,-90239,2026-07-04T22:16:38.729808+00:00
2023-07-25,097741,30358,108110,161166,74611,223760,-77752,2026-07-04T22:16:38.729808+00:00
2023-08-01,097741,26849,106065,164659,81371,229015,-79216,2026-07-04T22:16:38.729808+00:00
2023-08-08,097741,23135,106315,169528,80407,229849,-83180,2026-07-04T22:16:38.729808+00:00
2023-08-15,097741,34789,115750,175636,85139,247954,-80961,2026-07-04T22:16:38.729808+00:00
2023-08-22,097741,28680,124003,180967,76343,246923,-95323,2026-07-04T22:16:38.729808+00:00
2023-08-29,097741,24790,123263,181043,77975,245452,-98473,2026-07-04T22:16:38.729808+00:00
2023-09-05,097741,37014,134150,190804,84937,268344,-97136,2026-07-04T22:16:38.729808+00:00
2023-09-12,097741,38247,136960,183589,76945,270854,-98713,2026-07-04T22:16:38.729808+00:00
2023-09-19,097741,45737,147356,183927,72482,265860,-101619,2026-07-04T22:16:38.729808+00:00
2023-09-26,097741,46169,155681,200015,79788,285974,-109512,2026-07-04T22:16:38.729808+00:00
2023-10-03,097741,47544,161532,194193,76324,282682,-113988,2026-07-04T22:16:38.729808+00:00
2023-10-10,097741,36780,136256,182514,76362,259937,-99476,2026-07-04T22:16:38.729808+00:00
2023-10-17,097741,33139,135797,193634,81275,267521,-102658,2026-07-04T22:16:38.729808+00:00
2023-10-24,097741,30964,130593,186381,81572,260909,-99629,2026-07-04T22:16:38.729808+00:00
2023-10-31,097741,37641,141489,193460,85894,277272,-103848,2026-07-04T22:16:38.729808+00:00
2023-11-07,097741,27238,131278,189951,77994,259698,-104040,2026-07-04T22:16:38.729808+00:00
2023-11-14,097741,27772,158021,199890,66618,273763,-130249,2026-07-04T22:16:38.729808+00:00
2023-11-21,097741,39236,144690,178832,73404,264903,-105454,2026-07-04T22:16:38.729808+00:00
2023-11-28,097741,30461,139698,180134,76442,260781,-109237,2026-07-04T22:16:38.729808+00:00
2023-12-05,097741,28266,133222,184156,77938,267482,-104956,2026-07-04T22:16:38.729808+00:00
